ProjectReference,FundingOrgName,ProjectCategory,ParentOrgName,SectorParentOrg,CountryParentOrg,YearCollaborationStarted,AwardExpenditurePoundsMainProject
G9817803,MRC,Research Grant,St Thomas' Hospital,Hospitals,United Kingdom,2013,4364215
G9817803,MRC,Research Grant,Stockholm University,Academic/University,Sweden,2015,4364215
G9817803,MRC,Research Grant,Sysgenet,Academic/University,European Union (EU),2009,4364215
G9817803,MRC,Research Grant,Tel Aviv University,Academic/University,Israel,2011,4364215
G9817803,MRC,Research Grant,Telethon Kids Institute,Charity/Non Profit,Australia,2008,4364215
G9817803,MRC,Research Grant,The John Templeton Foundation,Academic/University,United States,2008,4364215
G9817803,MRC,Research Grant,The Royal Society,Charity/Non Profit,United Kingdom,2008,4364215
G9817803,MRC,Research Grant,The Wellcome Trust Sanger Institute,Charity/Non Profit,United Kingdom,2008,4364215
G9817803,MRC,Research Grant,Universidade de São Paulo,Academic/University,Brazil,2010,4364215
G9817803,MRC,Research Grant,University Medical Center Hamburg-Eppendorf,Hospitals,Germany,2010,4364215
G9817803,MRC,Research Grant,University of Amsterdam,Academic/University,Netherlands,2009,4364215
G9817803,MRC,Research Grant,University of Arizona,Academic/University,United States,2011,4364215
G9817803,MRC,Research Grant,University of Basel,Academic/University,Switzerland,2009,4364215
G9817803,MRC,Research Grant,University of Bonn,Academic/University,Germany,2006,4364215
G9817803,MRC,Research Grant,University of Bristol,Academic/University,United Kingdom,2010,4364215
G9817803,MRC,Research Grant,University of Cagliari,Academic/University,Italy,2014,4364215
G9817803,MRC,Research Grant,University of California,Academic/University,United States,2015,4364215
G9817803,MRC,Research Grant,"University of California, Los Angeles (UCLA)",Academic/University,United States,2011,4364215
G9817803,MRC,Research Grant,"University of California, San Francisco",Academic/University,United States,2012,4364215
G9817803,MRC,Research Grant,University of Cambridge,Academic/University,United Kingdom,2008,4364215
G9817803,MRC,Research Grant,University of Catania,Academic/University,Italy,2017,4364215
G9817803,MRC,Research Grant,University of Chicago,Academic/University,United States,2010,4364215
G9817803,MRC,Research Grant,University of Colorado Boulder,Academic/University,United States,2008,4364215
G9817803,MRC,Research Grant,University of Edinburgh,Academic/University,United Kingdom,2009,4364215
G9817803,MRC,Research Grant,University of Florida,Academic/University,United States,2009,4364215
G9817803,MRC,Research Grant,University of Gothenburg,Academic/University,Sweden,2017,4364215
G9817803,MRC,Research Grant,University of Helsinki,Academic/University,Finland,2014,4364215
G9817803,MRC,Research Grant,University of Jyvaskyla,Academic/University,Finland,2006,4364215
G9817803,MRC,Research Grant,University of Liverpool,Academic/University,United Kingdom,2010,4364215
G9817803,MRC,Research Grant,University of Manchester,Academic/University,United Kingdom,2010,4364215
G9817803,MRC,Research Grant,University of Minnesota,Academic/University,United States,2008,4364215
G9817803,MRC,Research Grant,University of New Mexico,Academic/University,United States,2011,4364215
G9817803,MRC,Research Grant,University of North Carolina at Chapel Hill,Academic/University,United States,2011,4364215
G9817803,MRC,Research Grant,University of Notre Dame,Academic/University,United States,2014,4364215
G9817803,MRC,Research Grant,University of Oulu,Academic/University,Finland,2008,4364215
G9817803,MRC,Research Grant,University of Oxford,Academic/University,United Kingdom,2012,4364215
G9817803,MRC,Research Grant,University of Queensland,Academic/University,Australia,2011,4364215
G9817803,MRC,Research Grant,University of Reading,Academic/University,United Kingdom,2009,4364215
G9817803,MRC,Research Grant,University of Regensburg,Academic/University,Germany,2008,4364215
G9817803,MRC,Research Grant,University of Salzburg,Academic/University,Austria,2006,4364215
G9817803,MRC,Research Grant,University of St Andrews,Academic/University,United Kingdom,2010,4364215
G9817803,MRC,Research Grant,University of Surrey,Academic/University,United Kingdom,2012,4364215
G9817803,MRC,Research Grant,University of Sussex,Academic/University,United Kingdom,2012,4364215
G9817803,MRC,Research Grant,University of Sydney,Academic/University,Australia,2011,4364215
G9817803,MRC,Research Grant,University of Tokyo,Academic/University,Japan,2011,4364215
G9817803,MRC,Research Grant,University of Twente,Academic/University,Netherlands,2017,4364215
G9817803,MRC,Research Grant,University of Warwick,Academic/University,United Kingdom,2010,4364215
G9817803,MRC,Research Grant,University of Western Australia,Academic/University,Australia,2009,4364215
G9817803,MRC,Research Grant,University of York,Academic/University,United Kingdom,2007,4364215
G9817803,MRC,Research Grant,University of Zurich,Academic/University,Switzerland,2006,4364215
G9817803,MRC,Research Grant,Utrecht University,Academic/University,Netherlands,2011,4364215
G9817803,MRC,Research Grant,Vanderbilt University,Academic/University,United States,2008,4364215
G9817803,MRC,Research Grant,Virginia Tech,Academic/University,United States,2011,4364215
G9817803,MRC,Research Grant,VU University Medical Center,Academic/University,Netherlands,2012,4364215
G9900432,MRC,Research Grant,Syntaxin,Private,United Kingdom,2006,481846
G9900432,MRC,Research Grant,University of Liverpool,Academic/University,United Kingdom,2006,481846
G9901217,MRC,Research Grant,Telethon Foundation,Charity/Non Profit,Italy,2008,243681
G9901217,MRC,Research Grant,The Wellcome Trust Sanger Institute,Charity/Non Profit,United Kingdom,2009,243681
G9901217,MRC,Research Grant,University College London,Academic/University,United Kingdom,2009,243681
MC_EX_MR/J000361/1,MRC,Research Grant,Anglia Ruskin University,Academic/University,United Kingdom,2017,276976
MC_EX_MR/J000361/1,MRC,Research Grant,Cambridgeshire and Peterborough Clinical Commissioning Group,Public,United Kingdom,2013,276976
MC_EX_MR/J000361/1,MRC,Research Grant,Cambridgeshire County Council,Public,United Kingdom,2013,276976
MC_EX_MR/J000361/1,MRC,Research Grant,Deakin University,Academic/University,Australia,2014,276976
MC_EX_MR/J000361/1,MRC,Research Grant,Durham University,Academic/University,United Kingdom,2012,276976
MC_EX_MR/J000361/1,MRC,Research Grant,Karolinska Institute,Academic/University,Sweden,2009,276976
MC_EX_MR/J000361/1,MRC,Research Grant,Linkoping University,Academic/University,Sweden,2009,276976
MC_EX_MR/J000361/1,MRC,Research Grant,MRC Epidemiology Unit,Public,United Kingdom,2013,276976
MC_EX_MR/J000361/1,MRC,Research Grant,Public Health England,Public,United Kingdom,2017,276976
MC_EX_MR/J000361/1,MRC,Research Grant,Queensland University of Technology (QUT),Academic/University,Australia,2012,276976
MC_EX_MR/J000361/1,MRC,Research Grant,Tongji Medical College,Academic/University,China,2009,276976
MC_EX_MR/J000361/1,MRC,Research Grant,University College London,Academic/University,United Kingdom,2019,276976
MC_EX_MR/J000493/1,MRC,Research Grant,"Birkbeck, University of London",Academic/University,United Kingdom,2013,987760
MC_EX_MR/J000493/1,MRC,Research Grant,Cambridgeshire and Peterborough Clinical Commissioning Group,Public,United Kingdom,2016,987760
MC_EX_MR/J000493/1,MRC,Research Grant,MRC Human Nutrition Research Group,Public,United Kingdom,2016,987760
MC_EX_MR/J000493/1,MRC,Research Grant,National Institute for Health Research,Public,United Kingdom,2016,987760
MC_EX_MR/J000493/1,MRC,Research Grant,North Norfolk Clinical Commissioning Group,Public,United Kingdom,2016,987760
MC_EX_MR/J000493/1,MRC,Research Grant,University of Leeds,Academic/University,United Kingdom,2016,987760
MC_EX_MR/J000493/1,MRC,Research Grant,University of Sheffield,Academic/University,United Kingdom,2016,987760
MC_EX_MR/J000493/1,MRC,Research Grant,Weight Watchers International,Private,United Kingdom,2016,987760
MC_EX_UU_G1000717,MRC,Research Grant,AbbVie Inc,Private,United States,2016,616670
MC_EX_UU_G1000717,MRC,Research Grant,Aberdeen Royal Infirmary,Hospitals,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,Addenbrooke's Hospital,Hospitals,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,Birmingham Heartlands Hospital,Hospitals,United Kingdom,2013,616670
MC_EX_UU_G1000717,MRC,Research Grant,Birmingham Women's and Children's NHS Foundation Trust,Public,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,Blackpool Victoria Hospital,Hospitals,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,Boehringer Ingelheim,Private,Germany,2013,616670
MC_EX_UU_G1000717,MRC,Research Grant,Bradford Royal Infirmary,Hospitals,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,Bristol Royal Infirmary,Hospitals,United Kingdom,2014,616670
MC_EX_UU_G1000717,MRC,Research Grant,Bristol-Myers Squibb,Private,United States,2013,616670
MC_EX_UU_G1000717,MRC,Research Grant,Buckinghamshire Healthcare NHS Trust,Public,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,Chelsea and Westminster Hospital NHS Foundation Trust,Public,United Kingdom,2013,616670
MC_EX_UU_G1000717,MRC,Research Grant,Derriford Hospital,Hospitals,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,East Lancashire Hospitals NHS Trust,Hospitals,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,Freeman Hospital,Hospitals,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,Frimley Health NHS Foundation Trust,Public,United Kingdom,2014,616670
MC_EX_UU_G1000717,MRC,Research Grant,"Gartnavel General Hospital, Glasgow",Hospitals,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,"Gilead Sciences, Inc.",Private,United Kingdom,2013,616670
MC_EX_UU_G1000717,MRC,Research Grant,Glasgow Royal Infirmary,Hospitals,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,GlaxoSmithKline (GSK),Private,Global,2013,616670
MC_EX_UU_G1000717,MRC,Research Grant,Great Ormond Street Hospital (GOSH),Hospitals,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,Hull Royal Infirmary,Hospitals,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,James Cook University Hospital,Hospitals,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,Johnson & Johnson,Private,United States,2013,616670
MC_EX_UU_G1000717,MRC,Research Grant,King's College Hospital NHS Foundation Trust (NCH),Hospitals,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,Laser Analytica,Private,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,Leeds Teaching Hospitals Charitable Foundation,Charity/Non Profit,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,Leicester Royal Infirmary,Hospitals,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,Manchester Royal Infirmary,Hospitals,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,Monklands District General Hospital,Hospitals,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,NHS Grampian,Hospitals,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,NHS Greater Glasgow and Clyde (NHSGGC),Public,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,Ninewells Hospital,Hospitals,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,Oxford University Hospitals NHS Foundation Trust,Academic/University,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,Pennine Acute Hospitals NHS Trust,Public,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,Queen Alexandra Hospital,Hospitals,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,Queen Elizabeth Hospital Birmingham,Hospitals,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,Queen Elizabeth University Hospital,Hospitals,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,Queen's Medical Centre,Hospitals,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,Royal Alexandra Children's Hospital,Hospitals,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,Royal Derby Hospital,Hospitals,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,Royal Free Hospital,Hospitals,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,Royal Hallamshire Hospital,Hospitals,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,Royal Hospital for Children,Hospitals,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,Royal Infirmary of Edinburgh,Hospitals,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,Royal Liverpool University Hospital,Hospitals,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,Royal London Hospital,Hospitals,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,Royal Preston Hospital,Hospitals,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,Royal Sussex County Hospital,Hospitals,United Kingdom,2014,616670
MC_EX_UU_G1000717,MRC,Research Grant,Sandwell and West Birmingham Hospitals NHS Trust,Public,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,Shrewsbury and Telford Hospital NHS Trust,Public,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,Singleton Hospital,Hospitals,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,Southampton General Hospital,Hospitals,United Kingdom,2013,616670
MC_EX_UU_G1000717,MRC,Research Grant,"St George's NHS Trust, London",Public,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,St James's University Hospital (Jimmy's),Hospitals,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,"St Mary's Hospital, London",Hospitals,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,STOP-HCV,Public,United Kingdom,2013,616670
MC_EX_UU_G1000717,MRC,Research Grant,Tayside Children’s Hospital,Hospitals,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,United Lincolnshire Hospitals NHS Trust,Hospitals,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,University College London Hospital,Hospitals,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,University Hospital Lewisham,Hospitals,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,University Hospitals of Morecambe Bay NHS Foundation Trust,Hospitals,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,University of Glasgow,Academic/University,United Kingdom,2012,616670
MC_EX_UU_G1000717,MRC,Research Grant,University of Nottingham,Academic/University,United Kingdom,2016,616670
MC_EX_UU_G1000717,MRC,Research Grant,Western General Hospital,Hospitals,United Kingdom,2012,616670
MR/J000434/1,MRC,Research Grant,Brunel University London,Academic/University,United Kingdom,2011,1253013
MR/J000434/1,MRC,Research Grant,University of Dundee,Academic/University,United Kingdom,2012,1253013
MR/J000434/1,MRC,Research Grant,University of Sheffield,Academic/University,United Kingdom,2012,1253013
MR/J001309/1,MRC,Research Grant,Food and Drug Administration (FDA),Academic/University,United States,2008,1866840
MR/J001309/1,MRC,Research Grant,Medical University of Innsbruck,Academic/University,Austria,2012,1866840
MR/J001309/1,MRC,Research Grant,University of Bristol,Academic/University,United Kingdom,2013,1866840
MR/J001309/1,MRC,Research Grant,University of San Diego,Academic/University,United States,2012,1866840
MR/J002062/1,MRC,Research Grant,Public Health England,Public,United Kingdom,2012,408256
MR/J002062/1,MRC,Research Grant,Quadram Institute Bioscience,Academic/University,United Kingdom,2014,408256
MR/J002062/1,MRC,Research Grant,University of East Anglia,Academic/University,United Kingdom,2015,408256
MR/J002062/1,MRC,Research Grant,University of Verona,Academic/University,Italy,2015,408256
MR/J002062/1,MRC,Research Grant,University of Warwick,Academic/University,United Kingdom,2015,408256
MR/J00345X/1,MRC,Research Grant,Academy of Medical Sciences (AMS),Charity/Non Profit,United Kingdom,2012,399473
MR/J00345X/1,MRC,Research Grant,Addenbrooke's Charitable Trust (ACT),Charity/Non Profit,United Kingdom,2016,399473
MR/J00345X/1,MRC,Research Grant,F. Hoffmann-La Roche AG,Private,Global,2013,399473
MR/J00345X/1,MRC,Research Grant,GlaxoSmithKline (GSK),Private,Global,2015,399473
MR/J00345X/1,MRC,Research Grant,Medical Research Council (MRC),Public,United Kingdom,2015,399473
MR/J00345X/1,MRC,Research Grant,National Institute for Health Research,Public,United Kingdom,2015,399473
MR/J00345X/1,MRC,Research Grant,The Evelyn Trust,Charity/Non Profit,United Kingdom,2013,399473
MR/J00345X/1,MRC,Research Grant,University of Cambridge,Academic/University,United Kingdom,2015,399473
MR/J00345X/1,MRC,Research Grant,Wellcome Trust,Charity/Non Profit,United Kingdom,2014,399473
MR/J003603/1,MRC,Research Grant,Harvard University,Academic/University,United States,2013,433933
MR/J003603/1,MRC,Research Grant,Max Planck Society,Academic/University,Germany,2017,433933
MR/J003603/1,MRC,Research Grant,Newcastle University,Academic/University,United Kingdom,2017,433933
MR/J003603/1,MRC,Research Grant,Technical University of Dresden,Academic/University,Germany,2014,433933
MR/J003603/1,MRC,Research Grant,University of Oxford,Academic/University,United Kingdom,2012,433933
MR/J004049/1,MRC,Research Grant,Greenwood Genetic Center (GGC),Charity/Non Profit,United States,2013,398040
MR/J004049/1,MRC,Research Grant,King's College London,Academic/University,United Kingdom,2012,398040
MR/J004049/1,MRC,Research Grant,Max Planck Society,Academic/University,Germany,2007,398040
MR/J004049/1,MRC,Research Grant,University College London,Academic/University,United Kingdom,2007,398040
MR/J004049/1,MRC,Research Grant,University of Pennsylvania,Academic/University,United States,2012,398040
MR/J004308/1,MRC,Research Grant,Newcastle University,Academic/University,United Kingdom,2015,413514
MR/J004308/1,MRC,Research Grant,Open University,Academic/University,United Kingdom,2013,413514
MR/J004308/1,MRC,Research Grant,University of Cambridge,Academic/University,United Kingdom,2015,413514
MR/J004308/1,MRC,Research Grant,University of Sheffield,Academic/University,United Kingdom,2015,413514
MR/J004758/1,MRC,Research Grant,Ataxia UK,Charity/Non Profit,United Kingdom,2006,691269
MR/J004758/1,MRC,Research Grant,British Medical Association (BMA),Charity/Non Profit,United Kingdom,2007,691269
MR/J004758/1,MRC,Research Grant,Eberhard Karls University of Tübingen,Academic/University,Germany,2012,691269
MR/J004758/1,MRC,Research Grant,European Commission,Public,European Union (EU),2012,691269
MR/J004758/1,MRC,Research Grant,Genomics England,Public,United Kingdom,2015,691269
MR/J004758/1,MRC,Research Grant,Great Ormond Street Hospital (GOSH),Hospitals,United Kingdom,2011,691269
MR/J004758/1,MRC,Research Grant,Medical Research Council (MRC),Public,United Kingdom,2006,691269
MR/J004758/1,MRC,Research Grant,National and Kapodistrian University of Athens,Academic/University,Greece,2010,691269
MR/J004758/1,MRC,Research Grant,National Organization for Rare Disorders (NORD),Charity/Non Profit,United States,2008,691269
MR/J004758/1,MRC,Research Grant,Partnership for Advanced Computing in Europe (PRACE),Academic/University,Belgium,2015,691269
MR/J004758/1,MRC,Research Grant,Sakhalin State University,Academic/University,Russian Federation,2010,691269
MR/J004758/1,MRC,Research Grant,Sanford Heart Hospital,Hospitals,United States,2010,691269
MR/J004758/1,MRC,Research Grant,Sarah Matheson Trust for MSA,Charity/Non Profit,United Kingdom,2006,691269
MR/J004758/1,MRC,Research Grant,University of Cambridge,Academic/University,United Kingdom,2010,691269
MR/J004758/1,MRC,Research Grant,University of Pennsylvania,Academic/University,United States,2010,691269
MR/J004758/1,MRC,Research Grant,University of Sydney,Academic/University,Australia,2011,691269
MR/J004758/1,MRC,Research Grant,University of Tehran,Academic/University,"Iran, Islamic Republic of",2009,691269
MR/J004758/1,MRC,Research Grant,University of Thessaly,Academic/University,Greece,2010,691269
MR/J004758/1,MRC,Research Grant,Wayne State University,Academic/University,United States,2008,691269
MR/J004839/1,MRC,Research Grant,Imperial College London,Academic/University,United Kingdom,2009,79272
MR/J004839/1,MRC,Research Grant,Royal College of Paediatrics and Child Health (RCPCH),Academic/University,United Kingdom,2008,79272
MR/J004839/1,MRC,Research Grant,University of Glasgow,Academic/University,United Kingdom,2011,79272
MR/J004839/1,MRC,Research Grant,University of Southampton,Academic/University,United Kingdom,2011,79272
MR/J005207/1,MRC,Research Grant,British Columbia Cancer Agency (BCCA),Public,Canada,2013,369590
MR/J005207/1,MRC,Research Grant,Cardiff University,Academic/University,United Kingdom,2014,369590
MR/J005207/1,MRC,Research Grant,Celator Pharmaceuticals,Private,Canada,2014,369590
MR/J005207/1,MRC,Research Grant,Guy's Hospital,Hospitals,United Kingdom,2014,369590
MR/J005207/1,MRC,Research Grant,King's College Hospital NHS Foundation Trust (NCH),Hospitals,United Kingdom,2012,369590
MR/J005207/1,MRC,Research Grant,NIHR Diagnostic Evidence Co-operatve,Public,United Kingdom,2016,369590
MR/J005207/1,MRC,Research Grant,University of Bergen,Academic/University,Norway,2013,369590
MR/J005207/1,MRC,Research Grant,University of the West of England,Academic/University,United Kingdom,2012,369590
MR/J010308/1,MRC,Research Grant,Abbott,Private,United States,2015,1275707
MR/J010308/1,MRC,Research Grant,Aberystwyth University,Academic/University,United Kingdom,2015,1275707
MR/J010308/1,MRC,Research Grant,Liverpool John Moores University,Academic/University,United Kingdom,2015,1275707
MR/J010308/1,MRC,Research Grant,Queen's University of Belfast,Academic/University,United Kingdom,2014,1275707
MR/J010308/1,MRC,Research Grant,University College London,Academic/University,United Kingdom,2012,1275707
MR/J010308/1,MRC,Research Grant,University of Barcelona,Academic/University,Spain,2015,1275707
MR/J010308/1,MRC,Research Grant,University of Bologna,Academic/University,Italy,2013,1275707
MR/J010308/1,MRC,Research Grant,University of Lisbon,Academic/University,Portugal,2015,1275707
MR/J011762/1,MRC,Research Grant,Atwood Primary School,Academic/University,United Kingdom,2013,240869
MR/J011762/1,MRC,Research Grant,Central C of E Junior School,Academic/University,United Kingdom,2013,240869
MR/J011762/1,MRC,Research Grant,Hampden Gurney Church of England Primary School,Academic/University,United Kingdom,2013,240869
MR/J011762/1,MRC,Research Grant,Hampton Hill Junior School,Academic/University,United Kingdom,2013,240869
MR/J011762/1,MRC,Research Grant,King's College London,Academic/University,United Kingdom,2013,240869
MR/J011762/1,MRC,Research Grant,Someries Junior School,Academic/University,United Kingdom,2013,240869
MR/J011762/1,MRC,Research Grant,St Barnabas & St Philip’s C of E Primary School,Academic/University,United Kingdom,2013,240869
MR/J012483/1,MRC,Research Grant,Cipla,Private,India,2012,3264377
MR/J012483/1,MRC,Research Grant,Imperial College London,Academic/University,United Kingdom,2012,3264377
MR/J012483/1,MRC,Research Grant,Mbale Clinical Research Institute,Hospitals,Uganda,2016,3264377
MR/J012483/1,MRC,Research Grant,Mbale Regional Hospital,Hospitals,Uganda,2008,3264377
MR/J012483/1,MRC,Research Grant,Medical Research Council (MRC),Public,United Kingdom,2013,3264377
MR/J012483/1,MRC,Research Grant,Radboud University Nijmegen,Academic/University,Netherlands,2012,3264377
MR/J012483/1,MRC,Research Grant,Spectral Diagnostics Inc,Private,Canada,2012,3264377
MR/J012483/1,MRC,Research Grant,The Prince Charles Hospital,Hospitals,Australia,2012,3264377
MR/J012483/1,MRC,Research Grant,Wellcome Trust,Charity/Non Profit,United Kingdom,2013,3264377
MR/J013293/1,MRC,Research Grant,AstraZeneca,Private,United Kingdom,2009,591743
MR/J013293/1,MRC,Research Grant,Ben-Gurion University of the Negev,Academic/University,Israel,2013,591743
MR/J013293/1,MRC,Research Grant,Flinders University,Academic/University,Australia,2009,591743
MR/J013293/1,MRC,Research Grant,Florida State University,Academic/University,United States,2017,591743
MR/J013293/1,MRC,Research Grant,Imperial College London,Academic/University,United Kingdom,2014,591743
MR/J013293/1,MRC,Research Grant,Institute of Genetics and Molecular and Cellular Biology (IGBMC),Academic/University,France,2015,591743
MR/J013293/1,MRC,Research Grant,Novo Nordisk,Private,Denmark,2019,591743
MR/J013293/1,MRC,Research Grant,Open University of Israel,Academic/University,Israel,2014,591743
MR/J013293/1,MRC,Research Grant,University College London,Academic/University,United Kingdom,2010,591743
MR/J013293/1,MRC,Research Grant,University of Alberta,Academic/University,Canada,2014,591743
MR/J013293/1,MRC,Research Grant,University of Bristol,Academic/University,United Kingdom,2014,591743
MR/J013293/1,MRC,Research Grant,University of Cambridge,Academic/University,United Kingdom,2006,591743
MR/J013293/1,MRC,Research Grant,University of Geneva,Academic/University,Switzerland,2013,591743
MR/J013293/1,MRC,Research Grant,University of Gothenburg,Academic/University,Sweden,2015,591743
MR/J013293/1,MRC,Research Grant,University of Milan,Academic/University,Italy,2014,591743
MR/J013293/1,MRC,Research Grant,University of Pisa,Academic/University,Italy,2014,591743
MR/J013293/1,MRC,Research Grant,University of Toronto,Academic/University,Canada,2008,591743
MR/J013293/1,MRC,Research Grant,Yale University,Academic/University,United States,2008,591743
MR/J01348X/1,MRC,Research Grant,Cardiff University,Academic/University,United Kingdom,2020,158270
MR/J01348X/1,MRC,Research Grant,Early Intervention Foundation,Charity/Non Profit,United Kingdom,2019,158270
MR/J01348X/1,MRC,Research Grant,Government of Wales,Public,United Kingdom,2020,158270
MR/J01348X/1,MRC,Research Grant,School Health Research Network,Charity/Non Profit,United Kingdom,2018,158270
MR/J01348X/1,MRC,Research Grant,Universidade de São Paulo,Academic/University,Brazil,2016,158270
MR/J01348X/1,MRC,Research Grant,University of Bristol,Academic/University,United Kingdom,2013,158270
MR/J01348X/1,MRC,Research Grant,University of Exeter,Academic/University,United Kingdom,2013,158270
MR/J013560/1,MRC,Research Grant,Karolinska Institute,Academic/University,Sweden,2014,181687
MR/J013560/1,MRC,Research Grant,University of Liverpool,Academic/University,United Kingdom,2014,181687
MR/J013560/1,MRC,Research Grant,University of Manchester,Academic/University,United Kingdom,2014,181687
MR/J015350/1,MRC,Research Grant,Imperial College London,Academic/University,United Kingdom,2014,740819
MR/J015350/1,MRC,Research Grant,MultiMedica,Private,Italy,2014,740819
MR/J015350/1,MRC,Research Grant,National Center for Cardiovascular Research (CNIC),Academic/University,Spain,2014,740819
MR/J015350/1,MRC,Research Grant,NHS Blood and Transplant (NHSBT),Public,United Kingdom,2013,740819
MR/J015350/1,MRC,Research Grant,Technion - Israel Institute of Technology,Academic/University,Israel,2013,740819
MR/J015350/1,MRC,Research Grant,University College London,Academic/University,United Kingdom,2014,740819
MR/J015350/1,MRC,Research Grant,University of Bristol,Academic/University,United Kingdom,2013,740819
MR/J015350/1,MRC,Research Grant,University of Cambridge,Academic/University,United Kingdom,2012,740819
MR/J015350/1,MRC,Research Grant,University of Liverpool,Academic/University,United Kingdom,2014,740819
MR/J015350/1,MRC,Research Grant,University of Pisa,Academic/University,Italy,2014,740819
MR/K00042X/1,MRC,Research Grant,Julich Research Centre,Academic/University,Germany,2012,362813
MR/K00042X/1,MRC,Research Grant,University of Birmingham,Academic/University,United Kingdom,2013,362813
MR/K00042X/1,MRC,Research Grant,University of Minho,Academic/University,Portugal,2013,362813
MR/K000780/1,MRC,Research Grant,EU Joint Programme - Neurodegenerative Disease Research (JPND),Public,European Union (EU),2012,73101
MR/K000780/1,MRC,Research Grant,Euroimmun,Private,Germany,2013,73101
MR/K000780/1,MRC,Research Grant,Friedrich Schiller University Jena (FSU),Academic/University,Germany,2010,73101
MR/K000780/1,MRC,Research Grant,"Iron Horse Diagnostics, Inc.",Private,United States,2013,73101
MR/K000780/1,MRC,Research Grant,"Queen Mary, University of London",Academic/University,United Kingdom,2013,73101
MR/K000780/1,MRC,Research Grant,University of Oxford,Academic/University,United Kingdom,2013,73101
MR/K000780/1,MRC,Research Grant,University of Ulm,Academic/University,Germany,2013,73101
MR/K000837/1,MRC,Research Grant,Bristol Zoo Gardens,Charity/Non Profit,United Kingdom,2007,1754774
MR/K000837/1,MRC,Research Grant,Cardiff University,Academic/University,United Kingdom,2012,1754774
MR/K000837/1,MRC,Research Grant,Cleveland Clinic,Hospitals,United States,2015,1754774
MR/K000837/1,MRC,Research Grant,Colchester Hospital University NHS Foundation Trust,Public,United Kingdom,2013,1754774
MR/K000837/1,MRC,Research Grant,Diamond Light Source,Private,United Kingdom,2007,1754774
